,tr_TR,en_US
ticaret1,Zengin kaynaklara sahip bu sistemde genellikle ticaret gemilerinin uğrak yeridir.,"In this system, which has rich resources, it is usually a stopover place for merchant ships."
ticaret2,Ticaret denilince akla ilk gelen sistemlerden biri. Zengin tüccarlar ticaret yapmak için buraya gelirler.,It is one of the first systems that comes to mind when it comes to trading. Rich merchants come here to trade.
ticaret3,Bir zamanların en islek ticaret noktalarından olan bu sistem artık bir kac yolunu kaybetmis tüccarın bulununabilecegi bir nokta.,"This system, which was once one of the busiest trading points, is now a point where a few traders who have lost their way can be found."
korsan1,Burası önceden en iyi pilotların yarıştığı bir sistemdi. Şimdi ise sadece yolunu kaybetmiş serseriler bulunuyor.,This used to be a system where the best pilots competed. Now there are only vagrants who have lost their way.
korsan2,Bu sistem en azılı kanun kaçaklarının bulunduğu bir saklanma noktasıdır. Buraya girenler çoğunlukla bunun cezasını canıyla öder.,This system is a hiding place for the most notorious outlaws. Those who enter here often pay for it with their lives.
korsan3,Bu sistem genellikle uzay serserilerinin uğrak noktasıdır. Girilmesi kesinlikle tavsiye edilmez.,This system is often frequented by space vagrants. It is strictly not recommended to enter.
korsan4,,
asteroid1,Çok eski bir zamanda iki gezegenin çarpısması ile ortaya çıkan büyük ölçekteki gezegen parcaları bir astroit kuşağı oluşturdu.,"In ancient times, large-scale planetary fragments formed by the collision of two planets formed an asteroid belt."
asteroid2,,
anomali1,Uzayın en dengesiz yerlerinden birisidir. Sürekli yer ve zamanda yırtılmalar oluşur. Burada hareket ederken dikkalti olmalısın.,It is one of the most unstable places in space. Space anomalys occur constantly in place and time. You have to be careful when moving here.
anomali2,Bilim insanlarının aktif olarak kitle imha silahlarını test ettiği bir sistemdir. Uzay anomalilerine çokca rastlanır.,It is a system in which scientists actively test weapons of mass destruction. Space anomalies are very common.
,,
anomalisonucolumlu,Uzay anomalisi size çok yaklasmadan bir anda ortadan kayboldu. Bugün sanslı gunundesin.,The space anomaly suddenly disappeared before it got too close to you. Today is your lucky day.
anomalisonucolumsuz,Uzay anomalisi sizi icine cekmeye basladi murettebatına son kez bir konusma yaptın. Hızlı ve acısız bir ölüm oldu.,The space anomaly is starting to draw you in. You gave a final speech to your crew. It was a quick and painless death.
,,
korsankacsonuc,"Geminin motorlarını son güce ayarlayıp hızlıca oradan uzaklasmaya basladiniz , korsanlar arkanızdan gelse bile size yetisemedi.","You adjusted the ship's engines to the last power and started to get away from there quickly, even if the pirates came behind you, they could not catch up with you."
korsansaldirsonuc,Korsan gemisine bakarken bir zayıflık kesfettin ve oraya saldırdın. Tebrikler uzayı bir pislikten temizlemis oldun.,"While looking at the pirate ship, you discovered a weakness and attacked it. Congratulations, you've cleared space of a mess."
korsanistedikleriniver,Korsanlar geminize baglandı ve bir miktar erzak alıp gittiler. Bu mürettebatınızın moralini düsürdü.,The pirates moored to your ship and took some supplies and left. This lowered the morale of your crew.
,,
asteroidsonucolumlu,Sorunsuz bi yolculuktu.,It was a smooth journey.
asteroidsonucolumsuz,Yolda giderken kocaman bir meteor çıktı. Ani manevra yapsakta geminin yan kısmını vurduk.,"On the way, a huge meteor came out. Although we made a sudden maneuver, we hit the side of the ship."
asteroidsonucolumsuz,Yolda giderken Kocaman bir meteor çıktı. Ani manevra denedik ama olmadı. Meteora çok kotü biçimde çarptık.,"On the way, a huge meteor came out. We tried sudden maneuvers, but it didn't work. We hit the meteor very badly."
,,
yardimcagriolumlu,Gemiye adamın vardı. İçerde yardıma muhtaç insanlar vardı. Gemilerine astroid çarpmış.onlara yardım ettin. Seni karşılıksız bırakmadılar,You had a man on board. There were people in need of help. Their ship was hit by an asteroid. You helped them. They didn't leave you unanswered
yardimcagriolumsuz,Gemiye adamın vardı. İçeri girdi ama içerisi ciddi anlamda tenha idi. Bi anda etraftan ateş altına tutuldu.İletişimi kaybettin.,"You had a man on board. He went in, but inside it was seriously secluded. All of a sudden, he came under fire. You lost communication."
,,
enkazolumlu,Gemi enkazına bakmaya gittin biraz yemek ve yakıt buldun.,You went to look at the shipwreck and found some food and fuel.
enkazolumsuz,Gemi enkazına bakmaya gittin ama haydutların saldırısına uğradın.,You went to look at the shipwreck but were attacked by bandits.
